date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:51:37	1065118/1065118	---M--	200	added ('OK')	image/png	etag:%22ff2181583e603fb9b988dd9c5b693480%22	https://d19b5f4jac5gbr.cloudfront.net/images/287/1/bim-desarrolladores-web.png	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/287/1/bim-desarrolladores-web.png	(from https://estudioese.com.uy/por-que-los-desarrolladores-inmobiliarios-necesitan-implementar-bim-7?nid=26)
12:51:37	120001/120001	---M--	200	added ('OK')	image/png	etag:%224d56227db40a90d2da4e54452794543d%22	https://d19b5f4jac5gbr.cloudfront.net/images/287/91/bim-desarrolladores-web_q90.png	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/287/91/bim-desarrolladores-web_q90.png	(from https://estudioese.com.uy/por-que-los-desarrolladores-inmobiliarios-necesitan-implementar-bim-7?nid=26)
12:51:38	0/0	---M--	403	error ('Forbidden')	application/json	date:Fri,%2028%20Jul%202023%2017:51:38%20GMT	https://d19b5f4jac5gbr.cloudfront.net/images/297/7/gra?fico-desarrolladores.jpg	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/297/7/gra28e6	(from https://estudioese.com.uy/por-que-los-desarrolladores-inmobiliarios-necesitan-implementar-bim-7?nid=26)
12:51:39	59412/59412	---M--	200	added ('OK')	image/jpeg	etag:%22d78fa1c1e8f174ddf2a8517657673a78%22	https://d19b5f4jac5gbr.cloudfront.net/images/241/1/1631743253831.jpeg	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/241/1/1631743253831.jpg	(from https://estudioese.com.uy/autodesk-model-checker-7?nid=25)
12:51:39	18228/18228	---M--	200	added ('OK')	image/jpeg	etag:%2293f1310f31632350fb98c8b7f6b6241a%22	https://d19b5f4jac5gbr.cloudfront.net/images/241/91/1631743253831_q90.jpeg	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/241/91/1631743253831_q90.jpg	(from https://estudioese.com.uy/autodesk-model-checker-7?nid=25)
12:51:40	1282361/1282361	---M--	200	added ('OK')	image/png	etag:%22f0786989ab494e1cef212da0a5ea3042%22	https://d19b5f4jac5gbr.cloudfront.net/images/240/1/498_esquema-iso-19650-2-web.png	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/240/1/498_esquema-iso-19650-2-web.png	(from https://estudioese.com.uy/entendiendo-la-norma-iso-19650-7?nid=24)
12:51:40	156627/156627	---M--	200	added ('OK')	image/png	etag:%223be7317ab871499b028d76d0dfad865d%22	https://d19b5f4jac5gbr.cloudfront.net/images/240/91/498_esquema-iso-19650-2-web_q90.png	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/240/91/498_esquema-iso-19650-2-web_q90.png	(from https://estudioese.com.uy/entendiendo-la-norma-iso-19650-7?nid=24)
12:51:41	376031/376031	---M--	200	added ('OK')	image/png	etag:%22694fe9752d5d5485c55884a6b31b39c7%22	https://d19b5f4jac5gbr.cloudfront.net/images/298/7/circulos-iso.png	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/298/7/circulos-iso.png	(from https://estudioese.com.uy/entendiendo-la-norma-iso-19650-7?nid=24)
12:51:42	222564/222564	---M--	200	added ('OK')	image/png	etag:%226c970f79bc2a3ab9b60a1d7b5124fdba%22	https://d19b5f4jac5gbr.cloudfront.net/images/299/7/niveles-de-madurez-bim.png	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/299/7/niveles-de-madurez-bim.png	(from https://estudioese.com.uy/entendiendo-la-norma-iso-19650-7?nid=24)
12:51:42	618076/618076	---M--	200	added ('OK')	image/png	etag:%22ca799342a14a625dae08105fa3210d02%22	https://d19b5f4jac5gbr.cloudfront.net/images/300/7/169_esquema-iso-19650-2-web.png	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/300/7/169_esquema-iso-19650-2-web.png	(from https://estudioese.com.uy/entendiendo-la-norma-iso-19650-7?nid=24)
